CarID,Brand,CarName,Year,Mileage_KM,Engine_CC,FuelType,Transmission,Horsepower,Price_USD
1,Nissan,Rogue,2021,228140,2200,Diesel,Manual,147,59924
2,Honda,CR-V,2020,44342,1500,Petrol,Automatic,318,79707
3,Honda,Accord,2016,224976,2500,Diesel,Automatic,222,36019
4,Nissan,Altima,2024,226676,1000,Diesel,Automatic,434,40109
5,Tesla,Model Y,2022,127603,2200,Electric,Automatic,190,64164
6,BMW,5 Series,2017,62983,1200,Diesel,Manual,302,73307
7,Honda,CR-V,2022,70698,1000,Petrol,Automatic,356,64688
8,Hyundai,Sonata,2023,211561,1000,Electric,Automatic,235,56719
9,Toyota,RAV4,2022,45033,2500,Hybrid,Automatic,234,39809
10,Audi,A4,2018,199527,1500,Electric,Automatic,321,59068
11,Tesla,Model S,2023,27948,1800,Petrol,Manual,284,54928
12,Kia,Sportage,2023,119647,2000,Petrol,Automatic,74,21423
13,Kia,Sportage,2018,114885,1500,Hybrid,Manual,89,61045
14,Honda,Accord,2017,170413,1500,Petrol,Automatic,202,79556
15,BMW,5 Series,2020,144300,2000,Hybrid,Automatic,317,78903
16,Kia,Sportage,2016,92852,2000,Petrol,Automatic,108,54402
17,Nissan,Sentra,2018,234456,1200,Petrol,Automatic,263,80403
18,BMW,X3,2020,49185,1200,Electric,Manual,300,77517
19,Toyota,RAV4,2021,105434,1800,Petrol,Automatic,373,68475
20,Ford,Focus,2024,113618,1500,Petrol,Manual,147,62523
21,BMW,3 Series,2021,152452,3000,Hybrid,Manual,106,88050
22,BMW,5 Series,2015,164736,1600,Petrol,Automatic,247,88657
23,Toyota,Camry,2020,234020,1600,Petrol,Manual,330,36339
24,Mercedes-Benz,E-Class,2018,42619,1000,Petrol,Manual,383,46729
25,Honda,CR-V,2021,128408,1000,Electric,Manual,195,19598
26,Kia,Rio,2019,65239,1200,Petrol,Manual,341,77179
27,Hyundai,Elantra,2015,9704,1500,Hybrid,Manual,418,45516
28,Hyundai,Tucson,2019,117557,1600,Diesel,Manual,87,51969
29,BMW,X3,2017,211230,1800,Electric,Automatic,258,55053
30,Hyundai,Tucson,2017,141099,1800,Hybrid,Automatic,111,12383
31,Nissan,Sentra,2017,238647,1800,Diesel,Manual,177,68681
32,Audi,A4,2020,9920,1000,Electric,Automatic,208,46210
33,Honda,Civic,2021,172153,1000,Diesel,Manual,377,50819
34,Toyota,RAV4,2022,111641,1000,Petrol,Automatic,309,50157
35,Tesla,Model 3,2019,58599,1200,Diesel,Manual,359,59405
36,BMW,3 Series,2025,198848,1500,Hybrid,Manual,253,32164
37,Tesla,Model S,2016,120482,3000,Electric,Manual,283,42424
38,Nissan,Rogue,2023,78766,2200,Electric,Manual,347,89070
