DealerID,DealerName,City,Region
1,Dealer_1,Jaipur,South
2,Dealer_2,Delhi,North
3,Dealer_3,Kolkata,North
4,Dealer_4,Bengaluru,North
5,Dealer_5,Chennai,North
6,Dealer_6,Jaipur,North
7,Dealer_7,Pune,East
8,Dealer_8,Lucknow,West
9,Dealer_9,Bengaluru,North
10,Dealer_10,Delhi,West
11,Dealer_11,Mumbai,East
12,Dealer_12,Jaipur,North
13,Dealer_13,Delhi,West
14,Dealer_14,Chennai,East
15,Dealer_15,Jaipur,South
16,Dealer_16,Bengaluru,North
17,Dealer_17,Ahmedabad,East
18,Dealer_18,Jaipur,South
19,Dealer_19,Lucknow,West
20,Dealer_20,Jaipur,East
21,Dealer_21,Ahmedabad,North
22,Dealer_22,Jaipur,South
23,Dealer_23,Mumbai,North
24,Dealer_24,Chennai,North
25,Dealer_25,Kolkata,West
26,Dealer_26,Hyderabad,West
27,Dealer_27,Delhi,South
28,Dealer_28,Pune,West
29,Dealer_29,Lucknow,North
30,Dealer_30,Chennai,West
31,Dealer_31,Delhi,North
32,Dealer_32,Bengaluru,West
33,Dealer_33,Lucknow,East
34,Dealer_34,Bengaluru,West
35,Dealer_35,Jaipur,South
36,Dealer_36,Ahmedabad,West
37,Dealer_37,Lucknow,West
38,Dealer_38,Mumbai,East
39,Dealer_39,Mumbai,East
40,Dealer_40,Pune,North
41,Dealer_41,Chennai,North
42,Dealer_42,Lucknow,West
43,Dealer_43,Delhi,East
44,Dealer_44,Kolkata,North
45,Dealer_45,Ahmedabad,South
46,Dealer_46,Bengaluru,West
47,Dealer_47,Chennai,South
48,Dealer_48,Hyderabad,West
49,Dealer_49,Hyderabad,North
50,Dealer_50,Ahmedabad,West
51,Dealer_51,Bengaluru,East
52,Dealer_52,Mumbai,West
53,Dealer_53,Chennai,West
54,Dealer_54,Kolkata,South
55,Dealer_55,Chennai,West
56,Dealer_56,Mumbai,East
57,Dealer_57,Ahmedabad,East
58,Dealer_58,Bengaluru,North
59,Dealer_59,Ahmedabad,North
60,Dealer_60,Bengaluru,East
61,Dealer_61,Delhi,West
62,Dealer_62,Bengaluru,South
63,Dealer_63,Hyderabad,South
64,Dealer_64,Kolkata,East
65,Dealer_65,Jaipur,South
66,Dealer_66,Mumbai,South
67,Dealer_67,Chennai,West
68,Dealer_68,Jaipur,South
69,Dealer_69,Lucknow,North
70,Dealer_70,Kolkata,South
71,Dealer_71,Chennai,West
72,Dealer_72,Ahmedabad,South
73,Dealer_73,Jaipur,West
74,Dealer_74,Lucknow,North
75,Dealer_75,Kolkata,North
76,Dealer_76,Lucknow,North
77,Dealer_77,Delhi,East
78,Dealer_78,Delhi,South
79,Dealer_79,Delhi,South
80,Dealer_80,Hyderabad,South
81,Dealer_81,Pune,West
82,Dealer_82,Delhi,South
83,Dealer_83,Pune,West
84,Dealer_84,Kolkata,North
85,Dealer_85,Hyderabad,South
86,Dealer_86,Pune,North
87,Dealer_87,Chennai,East
88,Dealer_88,Jaipur,North
89,Dealer_89,Kolkata,East
90,Dealer_90,Mumbai,South
91,Dealer_91,Hyderabad,East
92,Dealer_92,Chennai,West
93,Dealer_93,Bengaluru,East
94,Dealer_94,Delhi,North
95,Dealer_95,Kolkata,East
96,Dealer_96,Mumbai,South
97,Dealer_97,Chennai,East
98,Dealer_98,Mumbai,West
99,Dealer_99,Kolkata,North
100,Dealer_100,Ahmedabad,West
101,Dealer_101,Delhi,South
102,Dealer_102,Chennai,North
103,Dealer_103,Jaipur,North
104,Dealer_104,Kolkata,West
105,Dealer_105,Jaipur,South
106,Dealer_106,Delhi,East
107,Dealer_107,Delhi,West
108,Dealer_108,Chennai,West
109,Dealer_109,Jaipur,North
110,Dealer_110,Pune,East
111,Dealer_111,Lucknow,South
112,Dealer_112,Kolkata,West
113,Dealer_113,Chennai,West
114,Dealer_114,Lucknow,South
115,Dealer_115,Lucknow,West
116,Dealer_116,Lucknow,West
117,Dealer_117,Chennai,West
118,Dealer_118,Lucknow,East
119,Dealer_119,Delhi,East
120,Dealer_120,Hyderabad,East
121,Dealer_121,Hyderabad,North
122,Dealer_122,Delhi,North
123,Dealer_123,Lucknow,South
124,Dealer_124,Lucknow,South
125,Dealer_125,Mumbai,West
126,Dealer_126,Hyderabad,South
127,Dealer_127,Kolkata,North
128,Dealer_128,Hyderabad,North
129,Dealer_129,Delhi,West
130,Dealer_130,Delhi,West
131,Dealer_131,Mumbai,South
132,Dealer_132,Lucknow,West
133,Dealer_133,Pune,West
134,Dealer_134,Hyderabad,South
135,Dealer_135,Kolkata,South
136,Dealer_136,Delhi,East
137,Dealer_137,Hyderabad,East
138,Dealer_138,Lucknow,North
139,Dealer_139,Kolkata,West
140,Dealer_140,Mumbai,North
141,Dealer_141,Mumbai,East
142,Dealer_142,Bengaluru,East
143,Dealer_143,Jaipur,East
144,Dealer_144,Bengaluru,North
145,Dealer_145,Chennai,West
146,Dealer_146,Kolkata,East
147,Dealer_147,Jaipur,West
148,Dealer_148,Kolkata,West
149,Dealer_149,Kolkata,North
150,Dealer_150,Hyderabad,West
151,Dealer_151,Chennai,South
152,Dealer_152,Mumbai,East
153,Dealer_153,Hyderabad,West
154,Dealer_154,Hyderabad,West
155,Dealer_155,Ahmedabad,East
156,Dealer_156,Jaipur,North
157,Dealer_157,Lucknow,West
158,Dealer_158,Chennai,East
159,Dealer_159,Pune,South
160,Dealer_160,Jaipur,North
161,Dealer_161,Kolkata,South
162,Dealer_162,Pune,East
163,Dealer_163,Chennai,West
164,Dealer_164,Kolkata,South
165,Dealer_165,Bengaluru,West
166,Dealer_166,Hyderabad,East
167,Dealer_167,Mumbai,North
168,Dealer_168,Kolkata,East
