SaleID,CustomerID,DealerID,Brand,CarModel,SaleAmount,SaleDate
1,5296,3513,Nissan,Model_D,39553,2025-11-19
2,1938,5901,BMW,Model_A,19007,2025-08-11
3,1954,4278,Hyundai,Model_A,67228,2025-09-08
4,4555,7867,Nissan,Model_B,75122,2025-11-08
5,799,5565,Tesla,Model_B,32044,2025-06-24
6,3221,1249,Toyota,Model_A,24195,2025-05-13
7,4913,3910,Tesla,Model_D,76588,2025-03-10
8,3369,778,Honda,Model_C,56412,2025-07-01
9,6976,6894,Nissan,Model_D,22486,2025-12-01
10,6187,9748,Kia,Model_B,64148,2025-08-10
11,9948,1679,Ford,Model_A,49004,2025-08-20
12,606,6321,Hyundai,Model_A,42835,2025-02-28
13,4363,7173,Honda,Model_C,53096,2025-01-04
14,1761,2699,Hyundai,Model_A,24095,2025-12-07
15,1334,6805,Toyota,Model_A,74622,2025-05-25
16,864,3068,Tesla,Model_B,51563,2025-10-18
17,6810,8380,BMW,Model_B,22393,2025-03-02
18,9080,6408,Honda,Model_C,63990,2025-12-20
19,8979,4840,Ford,Model_C,17404,2025-08-20
20,6473,6238,Nissan,Model_D,48112,2025-05-06
21,532,1011,Honda,Model_C,20555,2025-05-27
22,4419,2236,Mercedes-Benz,Model_D,15907,2025-11-16
23,3651,8001,Ford,Model_B,61239,2025-09-14
24,1110,5800,Nissan,Model_C,26118,2025-09-23
25,5277,9814,Nissan,Model_C,44947,2025-06-22
26,7710,7157,BMW,Model_D,61027,2025-10-17
27,2793,9717,BMW,Model_A,37283,2025-06-16
28,7830,9418,Tesla,Model_B,40555,2025-08-14
29,260,7685,Mercedes-Benz,Model_A,17645,2025-06-19
30,3579,9917,Mercedes-Benz,Model_A,35739,2025-01-25
31,4600,3767,Nissan,Model_A,78913,2025-04-11
32,7105,417,Ford,Model_C,65298,2025-09-21
33,6715,6277,Kia,Model_A,71006,2025-10-14
34,3465,5853,Mercedes-Benz,Model_D,74454,2025-07-01
35,7966,5352,Honda,Model_B,20706,2025-01-03
36,8199,4768,Ford,Model_D,25826,2025-11-05
37,6221,5093,Mercedes-Benz,Model_A,49497,2025-01-26
38,2141,4546,Hyundai,Model_C,18990,2025-09-12
39,9938,3837,Hyundai,Model_D,39477,2025-04-11
40,2581,4529,BMW,Model_D,65651,2025-08-25
41,9679,5421,Toyota,Model_D,62365,2025-07-22
42,5940,5288,Tesla,Model_B,46840,2025-05-18
43,5778,2535,Hyundai,Model_A,26171,2025-03-11
44,9025,4759,Kia,Model_D,66977,2025-10-28
45,842,1349,Tesla,Model_C,65650,2025-03-28
46,2586,7870,Nissan,Model_B,55708,2025-05-19
47,7015,5370,Ford,Model_B,66546,2025-10-13
48,8133,4175,Nissan,Model_A,24319,2025-01-27
49,3672,8471,Hyundai,Model_C,17493,2025-08-01
50,965,9180,Mercedes-Benz,Model_A,37445,2025-10-23
51,1346,2112,Mercedes-Benz,Model_B,42187,2025-10-24
52,5241,7697,Hyundai,Model_B,69863,2025-12-18
53,5583,1134,BMW,Model_D,39583,2025-12-08
54,5468,2639,Nissan,Model_C,42343,2025-02-10
55,2144,7117,Ford,Model_A,32768,2025-01-17
56,5803,2306,Toyota,Model_D,66812,2025-04-07
57,4317,6679,Honda,Model_A,49551,2025-10-16
58,8612,8127,BMW,Model_D,24432,2025-09-06
59,6266,5724,Nissan,Model_B,58188,2025-04-23
60,8317,673,Mercedes-Benz,Model_A,61654,2025-10-03
61,7881,1394,Kia,Model_A,31070,2025-04-27
62,3792,1002,Audi,Model_C,34128,2025-05-03
63,8670,4938,BMW,Model_D,57774,2025-07-02
64,2962,261,Nissan,Model_B,20712,2025-04-16
65,9066,8853,Toyota,Model_B,59836,2025-02-02
66,9509,3937,Kia,Model_D,62504,2025-12-14
67,8171,7499,Tesla,Model_D,30739,2025-07-11
